title,paper_id,first_issue,last_issue,gaps
Lolland-Falsters Folketidende,lollandfalstersfolketidende,02-10-1873,30-12-2006,
Lolland-Falsters Stifts-Tidende,lollandfalstersstiftstidende,07-03-1809,30-06-1960,01-01-1815 - 31-12-1815
Losjutiðindi,losjutidindi,01-08-1982,31-12-1982,
Lyna,lyna,01-01-1797,25-03-1848,
Løgstør Avis,loegstoeravis1882,02-01-1976,17-09-1999,
Middelfart Avis,middelfartavis1857,20-11-1857,31-12-1938,
Middelfart Venstreblad,middelfartvenstreblad,15-09-1892,12-04-1993,
Midtjyllands Avis,midtjyllandsavis1857,06-05-1857,31-12-2009,
Morgenbladet (København),morgenbladet1873,01-10-1873,31-08-1892,
Morgenposten,morgenpostenkoebenhavn1844,02-12-1844,30-12-1872,
Morsø Folkeblad,morsoefolkeblad,02-10-1877,30-12-2013,
Møns Folkeblad. Stege politiske og Avertissements-Tidende,moensfolkeblad,07-01-1871,31-12-1873,
Nationaltidende,nationaltidende,18-03-1876,03-09-1961,
Nordjyllands SocialDemokrat/ Ny Tid,nordjyllandssocialdemokrat,02-10-1887,10-12-1971,
Nordjyske Stiftstidende,nordjyskestiftstidende,18-09-1999,31-12-2006,
Norðlysid,nordlysid,13-01-1940,17-12-1999,
Nordschleswigsche Zeitung,nordschleswigschezeitung,01-02-1929,17-08-1945,
Nordvestnyt (Holbæk),nordvestnytholbaek,03-09-2011,29-06-2013,
Ny Dag (Nakskov),lollandfalstersocialdemokrat,01-10-1901,25-10-1994,
Nykjøbing Avis (Nykøbing S),nykjoebingavis,03-08-1858,31-12-1884,
Næstved Tidende,naestvedtidende,06-07-1866,24-10-2005,
Oyggjatiðindi,oyggjatidindi,25-11-1977,22-12-1999,
Pressen (København),pressenkoebenhavn1906,02-07-1906,31-07-1906,
Randers Amtsavis,randersamtsavis,01-01-1879,31-12-2007,
Randers Dagblad,randersdagblad1874,01-01-1884,30-03-1976,
Ribe Byes Ugeblad,ribebyesugeblad,01-01-1798,31-12-1799,
Ribe Stifts-Tidende,ribestiftstidende,06-01-1786,31-12-1960,01-01-1810 - 31-12-1810
Riget,riget,24-11-1910,09-12-1913,
Ringkjøbing Amts Dagblad,ringkjoebingamtsdagblad,01-07-1971,31-12-2007,01-01-1972 - 31-12-1975
Roskilde Avis,roskildeavis,01-08-1829,31-07-1954,
Samfundet (København),samfundet,01-01-1900,30-04-1905,
Samsø Avis,samsoeavis1879,01-01-1887,31-12-1893,
Sanct Thomæ Tidende,sanctthomaetidendedvi,01-01-1812,31-12-1916,01-01-1815 - 16-04-1815
Sjællands Tidende (Slagelse),sjaellandstidendeslagelse,03-01-1815,24-10-2005,
Sjællandske (Næstved),sjaellandskenaestved,25-10-2005,31-12-2007,
Sjællandske (Slagelse),sjaellandskeslagelse,25-10-2005,30-06-2007,
Sjællands-Posten (Ringsted),sjaellandspostenringsted,01-01-1853,11-01-1909,
Sjællandsposten eller Nestved- og Callundborg-Ugeblad,nestvedugeblad,01-01-1839,31-12-1839,
Skagens Avis,skagensavis1913,14-03-1913,02-05-1994,
Skanderborg Avis og Avertissementstidende,skanderborgavis1868,01-07-1868,31-12-1874,
Skive Avis,skiveavis,10-05-1858,31-12-1909,
Skive Folkeblad,skivefolkeblad,02-10-1880,31-10-2007,
Social-Demokraten for Randers og Omegn,socialdemokratenranders,01-10-1887,08-10-1973,
Socialistisk Dagblad,socialistiskdagblad,01-05-1970,06-05-1982,
Solidaritet,solidaritet1911,16-12-1911,29-12-1918,
Sonderburger Zeitung (Sønderborg),sonderburgerzeitung,01-01-1920,31-01-1929,
Sorø Amts Dagblad,soroeamtsdagblad,02-01-1867,31-12-1950,
Sosialurin,sosialurin,24-05-1927,31-12-1999,01-01-1941 - 31-12-1942
St. Croix Avis,stcroixavisdvi,07-07-1770,31-03-1917,01-03-1779 - 31-12-1788;01-10-1793 - 19-02-1802;01-01-1814 - 31-03-1815
Stormen,stormen,01-03-1935,10-10-1940,
Stubbekøbing Avis,stubbekoebingavis,01-01-1877,31-12-1897,
Suðuroyar Tíðindi,suduroyartidindi,22-11-1984,06-02-1987,
Svendborg Amtstidende,svendborgamtstidende,01-01-1848,31-12-1886,
Sydvestjylland (Esbjerg),sydvestjyllandesbjerg,02-01-1928,31-01-1959,
Sønderjyden (Sønderborg),soenderjydensoenderborg,01-01-1954,16-11-1974,
Tarm Avis og Bølling-Nørre Herreders Tidende,tarmavis1881,24-02-1882,31-12-1883,
The Bulletin,thebulletindvi,06-10-1886,30-12-1916,01-01-1888 - 22-04-1889;01-01-1890 - 31-12-1890
The Danish West Indian,thedanishwestindiandvi,07-07-1900,24-04-1901,
The Herald,theheralddvi,29-10-1915,10-06-1925,01-01-1918 - 31-12-1918
The Saint Croix Bulletin,thesaintcroixbulletindvi,14-09-1885,31-01-1917,
The Saint Thomas Herald,thesaintthomasheralddvi,08-03-1882,29-12-1884,
The West End News,thewestendnewsdvi,20-04-1912,31-03-1917,
Thisted Amtsavis,thistedamtsavis,06-05-1824,31-12-1932,
Thisted Dagblad,thisteddagblad,02-10-1882,15-01-2008,
Tingakrossur,tingakrossur,01-01-1901,14-12-1990,
Varde Folkeblad,vardefolkeblad1892,01-10-1892,30-09-1905,
Vejle Amts Folkeblad,vejleamtsfolkeblad,20-10-1865,31-12-2009,
Vejle Avis,vejleavis,01-11-1973,31-01-1974,
Vendsyssel Tidende Frederikshavn,vendsysseltidendefrederikshavn,01-05-1994,17-09-1999,
Vendsyssel Tidende Hjørring,vendsysseltidendehjoerring,02-01-1873,17-09-1999,
Vestjylland (Struer),vestjyllandstruer,02-09-1907,30-09-1909,
Vestjyllands Social-Demokrat - Esbjerg,vestjyllandssocialdemokratesbjerg,01-05-1898,24-11-1971,
Vestkysten Esbjerg,vestkystenesbjerg,06-05-1918,12-01-1991,
Vestsjællands Social-Demokrat,vestsjaellandssocialdemokrat,18-12-1898,31-12-1962,
Vestslesvigs Tidende (Tønder),vestslesvigstidende,01-10-1882,31-12-1934,01-01-1886 - 30-09-1921
Vestslesvigsk Tidende (Tønder),vestslesvigsktidende,18-10-1856,30-12-1871,
Viborg Stifts Folkeblad,viborgstiftsfolkeblad,03-10-1877,31-12-2007,
Viborg Stifts-Tidende,viborgstiftstidende,04-01-1773,31-12-1962,
Vikutíðindi,vikutidindi,01-01-1982,10-08-1982,
Vordingborg Dagblad,vordingborgdagblad,01-01-1949,24-10-2005,01-01-1966 - 31-12-1989
Weekendavisen,weekendavisen,01-02-1900,31-12-2007,
Ærø Avis,aeroeavis,10-08-1859,28-09-1963,
Ærø Venstreblad,aeroevenstreblad,01-04-1924,31-08-1965,
"Ærøs Avis. Et ugeblad for Politik, Skibsfart og Bekjendtgjørelser",aeroesavis,03-10-1858,26-12-1858,
Østsjællands Avis (Køge),oestsjaellandsavis,01-01-1851,31-12-1911,
Aalborg Amtstidende,aalborgamtstidende1889,13-09-1889,10-12-1971,
Aalborg Stifts Adresse-Avis og Avertissementstidende,aalborgstiftsadresseavis,29-01-1818,31-03-1827,
Aalborg Stiftstidende,aalborgstiftstidende,02-01-1767,17-09-1999,01-01-1801 - 31-12-1801
Aarhus Amtstidende,aarhusamtstidende,01-10-1866,11-11-1965,
Aarhus Dagblad og Advertissementstidende,aarhusdagblad,01-07-1869,30-07-1869,
Århus Stiftstidende,aarhusstiftstidende,03-01-1794,31-12-2007,
